country,max_yr,min_yr,total_years,mov_avg_imports,mov_avg_unequal,mov_avg_prop_unequal,time
KOR,2015,1976,39,17668.8331599057,17662.2598269284,0.999798571421496,1986
KOR,2015,1976,39,31190.8800255895,31065.1000269055,0.998230498699867,1987
KOR,2015,1976,39,35262.960060589,35129.8800619051,0.998024682851723,1988
KOR,2015,1976,39,47029.4400234789,46745.4400296778,0.995962103042262,1989
KOR,2015,1976,39,63365.4000387102,62252.0933665588,0.987630142687007,1990
KOR,2015,1976,39,80801.7785983263,79005.0932640016,0.982073115743037,1991
KOR,2015,1976,39,94845.591813071,91993.2131586091,0.97560714591495,1992
KOR,2015,1976,39,112443.705167159,108392.606517099,0.966044387855275,1993
KOR,2015,1976,39,137885.493204728,132997.106563589,0.963175284118482,1994
KOR,2015,1976,39,154685.578491268,145517.333320708,0.943669483619405,1995
KOR,2015,1976,39,147519.625144327,134779.933358994,0.898688361205319,1996
KOR,2015,1976,39,171457.142251441,144759.153310575,0.849815235761171,1997
KOR,2015,1976,39,205781.820920757,172284.959963002,0.832456174582079,1998
KOR,2015,1976,39,244787.430951387,197246.457847129,0.799370570860834,1999
KOR,2015,1976,39,308013.385702078,250518.210433436,0.797061302015567,2000
KOR,2015,1976,39,381382.101513622,309139.6360203,0.80563704983413,2001
KOR,2015,1976,39,410855.297709366,313161.841323977,0.764347266013993,2002
KOR,2015,1976,39,442307.882676216,326115.692468102,0.732883345056865,2003
KOR,2015,1976,39,470268.112618859,340387.393479556,0.717237729792377,2004
KOR,2015,1976,39,473918.119285897,330486.561008381,0.69213574557261,2005
KOR,2015,1976,39,474757.330061078,326070.27536737,0.680974664144416,2006
KOR,2015,1976,39,483127.308554114,359256.141860368,0.744526949956365,2007
KOR,2015,1976,39,481554.194656371,360519.168415885,0.749870913575173,2008
KOR,2015,1976,39,476131.650355554,351695.744566412,0.74031400373458,2009
KOR,2015,1976,39,472343.874306836,351559.280900283,0.745534626522014,2010
KOR,2015,1976,39,478403.923767982,353311.187645806,0.739987041854549,2011
KOR,2015,1976,39,496569.722012928,359640.622069528,0.724071182771691,2012
KOR,2015,1976,39,510112.403769675,372983.950605957,0.730721450572545,2013
KOR,2015,1976,39,510616.525175285,379358.119486316,0.742426578681408,2014
KOR,2015,1976,39,514497.182397703,381090.798358712,0.739949423461762,2015
KWT,2015,1976,39,1324.73956428934,1324.73956428934,1,1976
KWT,2015,1976,39,1236.37967395014,1236.37967395014,1,1977
KWT,2015,1976,39,1313.82374016177,1313.82374016177,1,1978
KWT,2015,1976,39,1688.02373062503,1688.02373062503,1,1979
KWT,2015,1976,39,2289.65464343261,2289.65464343261,1,1980
KWT,2015,1976,39,2332.97998324186,2332.97998324186,1,1981
KWT,2015,1976,39,2227.2399840191,2227.2399840191,1,1982
KWT,2015,1976,39,2047.95997811556,2047.95997811556,1,1983
KWT,2015,1976,39,1532.73997832537,1532.73997832537,1,1984
KWT,2015,1976,39,627.619997739792,627.619997739792,1,1985
KWT,2015,1976,39,433.35999103114,433.35999103114,1,1986
KWT,2015,1976,39,975.33998894021,975.33998894021,1,1987
KWT,2015,1976,39,943.399996436388,943.399996436388,1,1988
KWT,2015,1976,39,917.200002292544,917.200002292544,1,1989
KWT,2015,1976,39,1245.26000138596,1243.70000134781,0.999049244245212,1990
KWT,2015,1976,39,1690.95999742597,1348.15999910384,0.859133707963442,1991
KWT,2015,1976,39,1282.73466682583,910.754667888581,0.832877904016578,1992
KWT,2015,1976,39,1693.10132952929,1321.12133059204,0.832877904016578,1993
KWT,2015,1976,39,2299.59467143044,1792.67467149869,0.796284667487849,1994
KWT,2015,1976,39,2688.29466781835,2159.93466817062,0.790818549683195,1995
KWT,2015,1976,39,2800.82000637348,2564.38000636395,0.914302448313748,1996
KWT,2015,1976,39,3129.64534200724,2822.04534391012,0.904143809176372,1997
KWT,2015,1976,39,2916.11867552647,2579.65867722477,0.885544852989873,1998
KWT,2015,1976,39,2825.54933537864,2587.34533813964,0.910797386219028,1999
KWT,2015,1976,39,2618.26667641671,2341.36267899815,0.89299811219423,2000
KWT,2015,1976,39,2679.61867202139,1943.60801053159,0.75574697783278,2001
KWT,2015,1976,39,2813.69866622013,2160.06133655179,0.786917056831539,2002
KWT,2015,1976,39,3122.6062613907,2428.50893261805,0.78312755322201,2003
KWT,2015,1976,39,2764.52399511419,1996.84533164883,0.718123541586629,2004
KWT,2015,1976,39,2631.61333035079,1598.64266169993,0.568715618002177,2005
KWT,2015,1976,39,2086.99486793864,1523.70419517094,0.656186766905948,2006
